courseCode,unitCode,infinitive,mood,tense,eu,tu,eleElaVoce,nos,elesElasVoces,ipaEu,ipaTu,ipaEleElaVoce,ipaNos,ipaElesElasVoces,negativeEu,negativeTu,negativeEleElaVoce,negativeNos,negativeElesElasVoces,negativeIpaEu,negativeIpaTu,negativeIpaEleElaVoce,negativeIpaNos,negativeIpaElesElasVoces,tags,curriculumTags
pt-conjugation,present,vestir,indicativo,presente,visto,vestes,veste,vestimos,vestem,ˈviʃtu,ˈveʃtɨʃ,ˈveʃtɨ,vɨʃˈtimuʃ,ˈveʃtɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,despir,indicativo,presente,dispo,despes,despe,despimos,despem,ˈdiʃpu,ˈdeʃpɨʃ,ˈdeʃpɨ,dɨʃˈpimuʃ,ˈdeʃpɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,sentir,indicativo,presente,sinto,sentes,sente,sentimos,sentem,ˈsĩtu,ˈsẽtɨʃ,ˈsẽtɨ,sẽˈtimuʃ,ˈsẽtɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,preferir,indicativo,presente,prefiro,preferes,prefere,preferimos,preferem,pɾɨˈfiɾu,pɾɨˈfeɾɨʃ,pɾɨˈfeɾɨ,pɾɨfɨˈɾimuʃ,pɾɨˈfeɾɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,conseguir,indicativo,presente,consigo,consegues,consegue,conseguimos,conseguem,kõˈsigu,kõˈsegɨʃ,kõˈsegɨ,kõsɨˈgimuʃ,kõˈsegɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,seguir,indicativo,presente,sigo,segues,segue,seguimos,seguem,ˈsigu,ˈsegɨʃ,ˈsegɨ,sɨˈgimuʃ,ˈsegɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,corrigir,indicativo,presente,corrijo,corriges,corrige,corrigimos,corrigem,kuˈʁiʒu,kuˈʁiʒɨʃ,kuˈʁiʒɨ,kuʁɨˈʒimuʃ,kuˈʁiʒɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,partir,indicativo,presente,parto,partes,parte,partimos,partem,ˈpaɾtu,ˈpaɾtɨʃ,ˈpaɾtɨ,paɾˈtimuʃ,ˈpaɾtɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,servir,indicativo,presente,sirvo,serves,serve,servimos,servem,ˈsiɾvu,ˈseɾvɨʃ,ˈseɾvɨ,sɨɾˈvimuʃ,ˈseɾvɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,admitir,indicativo,presente,admito,admites,admite,admitimos,admitem,ɐdˈmitu,ɐdˈmitɨʃ,ɐdˈmitɨ,ɐdmɨˈtimuʃ,ɐdˈmitɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,traduzir,indicativo,presente,traduzo,traduzes,traduz,traduzimos,traduzem,tɾɐˈduzu,tɾɐˈduzɨʃ,tɾɐˈduʃ,tɾɐduˈzimuʃ,tɾɐˈduzɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,permitir,indicativo,presente,permito,permites,permite,permitimos,permitem,pɨɾˈmitu,pɨɾˈmitɨʃ,pɨɾˈmitɨ,pɨɾmɨˈtimuʃ,pɨɾˈmitɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,repetir,indicativo,presente,repito,repetes,repete,repetimos,repetem,ʁɨˈpitu,ʁɨˈpetɨʃ,ʁɨˈpetɨ,ʁɨpɨˈtimuʃ,ʁɨˈpetɐ̃j,,,,,,,,,,,,irregular
pt-conjugation,present,abrir,indicativo,presente,abro,abres,abre,abrimos,abrem,ˈabɾu,ˈabɾɨʃ,ˈabɾɨ,ɐˈbɾimuʃ,ˈabɾɐ̃j,,,,,,,,,,,,ir  
pt-conjugation,present,decidir,indicativo,presente,decido,decides,decide,decidimos,decidem,dɨˈsidu,dɨˈsidɨʃ,dɨˈsidɨ,dɨsɨˈdimuʃ,dɨˈsidɐ̃j,,,,,,,,,,,,ir  
